district_char,avg_percent_meets,grant_participant,District Name,District Type,ESC Region,Enrollment,Percent Emergent Bilingual,Percent Economically Disadvantag,TEA Description,Overall Scale Score SY21_22,Overall Rating SY21_22
101906,32.9,0,CROSBY ISD,INDEPENDENT,04,6717,0.2292690189,0.6231948787,Major Suburban,85,B
101907,24.4,1,CYPRESS-FAIRBANKS ISD,INDEPENDENT,04,118010,0.3095415643,0.5801372765,Major Suburban,90,A
101908,48.5,0,DEER PARK ISD,INDEPENDENT,04,12263,0.1904917231,0.5148006198,Major Suburban,90,A
101910,38.9,0,GALENA PARK ISD,INDEPENDENT,04,21392,0.4907909499,0.8831806283,Major Suburban,93,A
101911,33.3,0,GOOSE CREEK CISD,INDEPENDENT,04,24431,0.2898776145,0.7756129508,Major Suburban,92,A
101912,35.2,0,HOUSTON ISD,INDEPENDENT,04,189934,0.4322132951,0.7946023355,Major Urban,89,B
101913,27.7,0,HUMBLE ISD,INDEPENDENT,04,48758,0.1477090939,0.4839616063,Major Suburban,76,C
101914,44.6,0,KATY ISD,INDEPENDENT,04,92667,0.3267290405,0.4340164244,Major Suburban,92,A
101915,38.3,0,KLEIN ISD,INDEPENDENT,04,53712,0.2769027405,0.5365653858,Major Suburban,88,B
101916,44.4,1,LA PORTE ISD,INDEPENDENT,04,7100,0.1377464789,0.6014084507,Major Suburban,89,B
101917,31.9,1,PASADENA ISD,INDEPENDENT,04,48726,0.4608422608,0.8546976973,Major Suburban,86,B
101919,25.7,0,SPRING ISD,INDEPENDENT,04,34114,0.3418537844,0.8423521135,Major Suburban,78,C
101920,36.8,0,SPRING BRANCH ISD,INDEPENDENT,04,33649,0.4529109335,0.5671193795,Major Suburban,89,B
101921,55.1,0,TOMBALL ISD,INDEPENDENT,04,21426,0.1782880612,0.3139643424,Major Suburban,91,A
